mean,prediction
8.521610084244458e-07,disgust
7.17375030490075e-07,calm
6.923675641701266e-07,sad
7.839203135517891e-07,neutral
7.998148703336483e-07,calm
1.2883079989478574e-06,fearful
-1.034206817962513e-07,fearful
1.8152872144128196e-05,fearful
2.6878781227424042e-06,calm
-6.657451740466058e-05,angry
5.552503807848552e-07,calm
-1.8564860226888413e-07,disgust
1.1863708095916081e-06,happy
2.75293984941527e-07,fearful
6.571875701411045e-07,sad
9.827084568314604e-07,calm
6.025102265994065e-07,fearful
7.417467084991358e-09,happy
4.158019919486833e-07,calm
1.651340085118136e-06,happy
1.854197216744069e-05,angry
1.0686874702514615e-05,angry
-4.789564300722304e-08,happy
6.535847774102876e-07,disgust
1.1225806701986585e-06,surprised
9.822845186135964e-07,neutral
1.5566083675366826e-06,calm
-2.4687449240445858e-06,disgust
1.5108320212675608e-06,disgust
9.543100532027893e-07,surprised
6.985134746173571e-07,angry
1.023186541715404e-06,sad
9.88218516795314e-07,neutral
1.2929704098496586e-06,sad
9.265475569009141e-07,surprised
1.1969672186751268e-06,happy
1.6129811228893232e-06,disgust
5.137125640430895e-07,happy
8.087158107628056e-07,surprised
9.943644272425445e-07,sad
6.557040705956751e-07,angry
1.4050801837584004e-06,surprised
2.356635206979263e-07,sad
1.4898512290528743e-06,sad
1.0208553931079223e-06,happy
9.758207852428313e-06,angry
6.491343356174184e-07,surprised
-9.935166644936544e-07,fearful
8.735656820135773e-07,calm
1.0100470717588905e-06,neutral
8.000267825991614e-07,happy
2.034208591794595e-05,angry
1.0214911299044616e-06,surprised
5.109575340611627e-07,angry
8.125729436869733e-06,fearful
4.791683636540256e-07,disgust
1.8500433725421317e-05,fearful
1.8755595476704912e-07,disgust
6.966060936974827e-07,sad
5.221896799412207e-07,surprised
2.920362760505668e-07,fearful
-6.760491544355318e-08,angry
-5.054473604104714e-07,neutral
-6.372663960974023e-07,calm
-1.8787384306051536e-06,calm
-4.018147876649891e-07,neutral
-5.022684490540996e-07,calm
5.933973312721719e-09,happy
6.368425147229573e-07,fearful
2.3545159422155848e-07,surprised
4.302130918176772e-08,happy
-7.534027304245683e-07,angry
-1.057730742104468e-06,disgust
1.388125951962138e-06,disgust
2.2994147741428606e-07,surprised
-3.984239356213948e-07,disgust
3.4480623867239046e-07,happy
-2.988179659269008e-08,fearful
3.7150911680328136e-07,surprised
1.1740790739622753e-07,disgust
-6.461673365265597e-07,happy
-7.074144150465145e-07,calm
-4.1113960236316416e-08,surprised
2.449883425015287e-07,happy
-1.8077426489071513e-07,angry
-2.876917506000609e-06,sad
3.507402084323985e-07,angry
-2.0959642199613882e-07,calm
-8.108351039481931e-07,calm
1.4471689610218164e-05,angry
-2.212524350397871e-07,angry
-2.473195479524293e-07,happy
4.1219922763957584e-07,fearful
1.844766484282445e-05,surprised
-7.934570476209046e-07,sad
-8.243984694900064e-08,surprised
-1.0999043809079012e-07,disgust
-6.145901121357156e-09,disgust
-3.5158794275957916e-07,neutral
-6.758372137483093e-07,calm
3.284878289377957e-07,fearful
2.7656554379973386e-07,fearful
-1.5979343004346447e-07,neutral
-9.706285197808029e-08,sad
-5.086263286102621e-07,disgust
-1.0019938372352044e-06,sad
-1.2499491504058824e-06,sad
3.7087335869046e-08,surprised
6.264580747483706e-07,happy
-1.7009735529427417e-05,angry
7.820129610536242e-08,disgust
2.339680946761291e-07,surprised
-8.858575029080384e-07,sad
-1.0982089406752493e-06,calm
1.799265589852439e-07,fearful
4.810756877304811e-07,fearful
1.7335679558527772e-07,happy
3.0983818533059093e-07,angry
-2.450095280437381e-06,sad
-2.6448566359249526e-07,sad
-1.3987223610456567e-06,neutral
4.717508943485882e-07,surprised
-3.171285061398521e-05,fearful
-3.286213177489117e-05,angry
-3.7345885175454896e-06,calm
-8.413526586537046e-08,disgust
3.257327705341595e-07,happy
-1.2990103641641326e-05,angry
-7.307264695555205e-07,sad
-3.5921732433052966e-07,angry
4.909091512672603e-05,surprised
2.2985670966590988e-06,happy
1.415676592841919e-06,calm
-2.112494485118077e-06,disgust
-1.2480418263294268e-06,happy
-3.2054053917818237e-06,disgust
4.4977612560614944e-05,fearful
2.292421186211868e-06,disgust
-2.3697746200923575e-06,calm
2.4588267478975467e-05,surprised
5.4092406571726315e-06,sad
3.902859134541359e-06,surprised
2.263386988943239e-07,calm
-3.549787663814641e-07,angry
1.9323560991324484e-06,neutral
-1.2043847164022736e-06,fearful
-2.871619244615431e-07,neutral
-1.0070800726680318e-06,calm
-2.640194452396827e-06,calm
-2.2532144612341654e-06,fearful
1.7757627574610524e-05,surprised
-2.5573306174919708e-06,calm
-8.081648047664203e-06,calm
-1.5705956002420862e-06,sad
8.731418432716964e-08,surprised
5.463706202135654e-06,angry
-1.8884870769397821e-06,disgust
-1.302973396377638e-05,sad
-0.00014197794371284544,sad
-2.3123423034121515e-06,disgust
5.055491055827588e-05,fearful
6.078423393773846e-05,angry
-4.0287440583597345e-07,neutral
-4.053899829159491e-05,sad
-4.060639184899628e-05,sad
-0.00010427072265883908,sad
6.133185479484382e-07,surprised
-2.363628709645127e-06,disgust
-4.624260725449858e-07,happy
-1.4656914117949782e-06,surprised
1.7561382264830172e-05,happy
1.679823071754072e-05,happy
-1.923243189594359e-06,fearful
-4.496447218116373e-05,fearful
1.1321385500195902e-05,angry
-4.4356451667226793e-07,disgust
2.0338269678177312e-05,happy
0.00011935085785808042,angry
-1.1744181392714381e-05,fearful
1.2211905414005741e-05,happy
-5.9507156038307585e-06,angry
-4.789564300722304e-08,neutral
-2.0980834847250662e-07,neutral
-1.1087841812695842e-05,happy
2.9669868339965433e-08,sad
2.3668500944040716e-05,sad
1.2334187715623557e-07,fearful
-2.485911068106361e-07,fearful
-8.986366992758121e-06,angry
-9.77982381300535e-06,happy
3.009372306905789e-08,surprised
7.671780366536041e-08,calm
-1.7208523672707088e-07,neutral
-1.0929107929769089e-06,disgust
-5.9339736679930866e-08,sad
-1.4951493767512147e-06,fearful
1.6954210479980247e-08,neutral
-6.617440249101492e-06,disgust
1.7568800103617832e-07,surprised
-2.623663988288172e-07,sad
3.865559961013787e-07,happy
2.598232811124035e-07,surprised
7.03599738471894e-08,sad
6.845262134902441e-08,sad
-4.870096859121986e-07,calm
1.61064992454385e-08,angry
-1.2355380931694526e-06,calm
3.369649093087901e-08,happy
-6.843143296464405e-07,happy
1.481374169998162e-07,sad
-9.261237465807426e-08,happy
-7.18434662871914e-08,angry
2.534654299779504e-07,fearful
-2.671347829164006e-06,calm
1.1592440785079816e-07,surprised
4.6857198299221636e-07,surprised
-2.3078918331975729e-07,sad
-9.006924273080585e-08,happy
2.96698686952368e-07,surprised
-2.7338662889064835e-08,fearful
-3.2191806553782953e-07,disgust
-3.34845644545112e-08,disgust
-7.055070909700589e-07,calm
-9.706285197808029e-08,disgust
-1.3711716917441663e-07,angry
-4.545847502868128e-07,calm
1.8013848190889803e-08,fearful
1.2312995067986776e-07,fearful
-2.1175808342377422e-06,calm
-8.102629180939402e-06,fearful
7.523430411993104e-08,surprised
-7.502237764356323e-08,angry
-1.9582112997795775e-07,surprised
-2.623663988288172e-07,disgust
-8.05324962271925e-09,angry
-5.639818027702859e-06,happy
4.323323565813553e-08,calm
-2.509223122615367e-07,angry
-5.842844643666467e-07,disgust
-1.5841590084164636e-06,disgust
4.675123363995226e-07,happy
8.523728865839075e-06,surprised
-5.562464593822369e-06,disgust
-2.2354126940626884e-06,fearful
-3.115336255632428e-08,disgust
-5.350536866899347e-06,angry
-4.7673120207036845e-06,calm
-1.1061138138757087e-05,angry
-9.191301160171861e-07,calm
9.388394062170846e-08,angry
-1.2127134141337592e-05,happy
-1.0168287190026604e-06,neutral
-7.960001653373183e-07,neutral
-2.0302665859617264e-07,happy
1.495573201282241e-06,fearful
5.669064080393582e-07,sad
-4.198286205792101e-06,surprised
1.7727745671436423e-06,sad
-3.7013160181231797e-06,surprised
1.978132559088408e-06,calm
2.128813093804638e-06,happy
-5.453533503896324e-06,sad
-6.043539997335756e-06,calm
-4.265891220711637e-06,fearful
-2.6567247459752252e-06,surprised
7.476806786144152e-06,angry
-1.5975103906384902e-06,calm
-7.73260308051249e-06,surprised
2.614763161545852e-06,sad
-5.2367317948665e-07,disgust
9.8904502010555e-06,happy
1.093334617507935e-06,sad
-3.495746113912901e-06,disgust
-2.0027160019253643e-07,angry
-3.706614279508358e-06,calm
-1.9861856799252564e-06,surprised
6.586498784599826e-06,neutral
-4.816903128812555e-06,fearful
3.7443373912537936e-06,happy
7.5923071563011035e-06,fearful
-7.508807811973384e-06,disgust
-2.964867462651455e-06,neutral
-3.391901600480196e-06,angry
-9.975433385989163e-07,sad
-7.714165661809602e-08,happy
-7.727729098405689e-06,sad
2.2110409645392792e-06,calm
-2.276314717164496e-06,fearful
-1.5574561302855727e-06,surprised
-2.732806706262636e-06,disgust
3.936343546229182e-06,surprised
-1.3840992778568761e-06,happy
1.349767103420163e-06,disgust
1.316070523671442e-07,fearful
-6.446414317906601e-06,sad
3.969828412664356e-06,angry
-9.629991382098524e-07,fearful
4.275427727407077e-06,angry
-2.476162308084895e-06,disgust
3.3336216347379377e-06,calm
-1.9539727702522214e-07,fearful
-5.666944957738451e-07,neutral
-3.0197568321455037e-06,surprised
-1.8819173419615254e-07,surprised
3.3526951028761687e-06,sad
-1.9370185100342496e-07,surprised
-9.504529771220405e-06,angry
-6.642871539952466e-06,angry
-2.1743774425431184e-07,sad
4.302130918176772e-08,surprised
2.4252997263829457e-06,disgust
-6.904601832502522e-07,disgust
1.3039906434642035e-06,angry
-2.7503967885422753e-06,fearful
-3.965589712606743e-06,happy
-1.1035072020604275e-06,disgust
-5.711449375667144e-07,neutral
7.199181482064887e-07,sad
2.0366669559734873e-05,fearful
-1.7537010990054114e-06,calm
-8.614857733846293e-07,surprised
-1.1617872814895236e-06,disgust
-5.518595571629703e-07,surprised
-1.0914272934314795e-06,disgust
-3.965165831232298e-07,neutral
4.048898335895501e-05,angry
-3.8274129110504873e-07,disgust
-3.206253040843876e-06,calm
-5.028618488722714e-06,happy
2.5477938834228553e-06,happy
-1.8162197079618636e-07,neutral
-7.347530868173635e-07,calm
2.8426700737327337e-05,happy
1.0681152389224735e-06,fearful
-2.2290548713499447e-06,happy
6.266699870138837e-07,disgust
9.130266334977932e-06,fearful
5.85556051646563e-07,fearful
-4.6115451368677896e-07,surprised
-3.074645974265877e-06,calm
-7.659064635845425e-07,sad
-2.826478748829686e-06,calm
-6.217956638465694e-07,calm
-5.200703867558332e-07,happy
-1.8244849115944817e-06,angry
-6.484985419774603e-07,fearful
7.122887382138288e-07,sad
-4.408094582686317e-07,happy
-1.0916392056969926e-06,fearful
-5.5961609177757055e-06,sad
-4.419326614879537e-06,angry
-2.702077210869902e-07,happy
-1.1448330496932613e-06,surprised
-2.585516938324872e-07,calm
2.0239087916706922e-07,angry
-4.5649210278497776e-07,sad
-2.0851559838774847e-06,calm
-8.415645993409271e-07,disgust
-5.6849585234886035e-06,sad
-3.5027399007958593e-06,angry
-5.566490926867118e-06,surprised
1.2438455996743869e-05,happy
-3.857506726490101e-06,disgust
-2.795325428905926e-07,calm
-6.919436827956815e-07,sad
-5.048116236139322e-07,calm
-8.909437383408658e-07,calm
6.97877680977399e-07,sad
-6.368425147229573e-07,disgust
-1.345316604783875e-06,surprised
4.6539307163584454e-07,disgust
3.958384240831947e-06,angry
-9.98179103817165e-08,happy
-0.0001601963012944907,angry
-8.583069188716763e-08,calm
1.6212463549436507e-07,sad
-3.696017927268258e-07,surprised
5.58005410766782e-07,sad
-1.9319322746014223e-06,disgust
-9.98179103817165e-08,happy
-4.195743258605944e-06,fearful
-3.442976321821334e-06,surprised
3.0941432527242796e-08,fearful
-1.5534294561803108e-07,surprised
-1.965840738193947e-06,calm
-1.2919108485220931e-06,neutral
-5.764431421084737e-08,fearful
-4.708904816652648e-05,angry
-6.150457920739427e-05,angry
-6.67148185584665e-07,neutral
-1.8287234979652567e-06,calm
0.00017139880219474435,angry
4.348754885086237e-07,sad
-2.543131571997037e-08,calm
-2.5225745048373938e-06,happy
-2.206484532507602e-05,angry
3.1062231755640823e-06,fearful
-2.6471880119061098e-06,disgust
-3.679063524941739e-07,sad
2.969105935335392e-06,happy
3.3236608487641206e-06,happy
1.5947554174999823e-06,neutral
1.752641480834427e-07,disgust
-3.67079837815254e-06,surprised
-0.0005029260646551847,angry
-8.271535421044973e-07,calm
-3.3914355299202725e-05,sad
1.4455371456278954e-05,surprised
-5.554622930503683e-07,sad
2.1031910364399664e-05,happy
1.4162911611492746e-05,fearful
2.6781294764077757e-06,fearful
-9.947882517735707e-07,fearful
-2.2879705738887424e-06,happy
-3.652148734545335e-06,surprised
-1.244862914973055e-06,fearful
1.9522772163327318e-06,disgust
-6.363550710375421e-06,neutral
2.7005937681678915e-06,disgust
9.663899902534467e-08,angry
-7.44289820886479e-07,calm
-4.295561211620225e-06,neutral
-6.843143296464405e-07,happy
3.097110266025993e-06,calm
-1.092486854759045e-06,happy
1.2219111340527888e-05,angry
-7.792578799126204e-06,surprised
9.397506801178679e-06,angry
-1.5165541071837652e-06,neutral
-5.995432275085477e-07,surprised
1.1692046655298327e-06,happy
-1.651763909649162e-06,angry
1.6124513422255404e-05,surprised
2.7317471449350705e-06,calm
-2.547581971157342e-06,sad
-5.697674168914091e-06,calm
-2.588695906524663e-06,happy
-1.250563764187973e-05,surprised
-4.680633537645917e-06,fearful
-3.5565694815886673e-06,disgust
2.794689635265968e-06,surprised
-2.9306411306606606e-05,happy
-2.7614169084699824e-07,disgust
8.191002507373923e-07,disgust
8.608330972492695e-05,fearful
3.24249276673072e-06,disgust
2.3841010261094198e-05,angry
-2.695147122722119e-05,angry
1.3239754480309784e-05,fearful
-5.033281013311353e-06,sad
-2.5249057671317132e-06,sad
3.223016392439604e-05,fearful
-7.972717526172346e-07,angry
4.6327377845045703e-07,calm
1.8516116142563988e-06,sad
-2.2373199044523062e-06,sad
-3.2552084121562075e-06,disgust
1.5110440187982022e-07,disgust
-3.3166674029416754e-07,sad
-0.00013678571849595755,fearful
-8.515294030075893e-05,angry
7.745954917481868e-07,sad
6.127039796410827e-06,happy
2.8378592105582356e-05,surprised
5.07990534970304e-07,calm
3.407965778023936e-05,surprised
-6.193584795255447e-06,disgust
-2.342224206586252e-06,neutral
-7.041930984996725e-06,neutral
-1.1419508155086078e-05,happy
-1.2233310371811967e-05,angry
-1.3283623729876126e-06,surprised
-3.008672865689732e-05,fearful
5.455017344502266e-07,sad
-9.303622761080987e-08,fearful
-7.684283445996698e-06,calm
-3.7523906939895824e-05,fearful
-1.4312744497146923e-05,happy
-6.328158974611142e-07,calm
6.770027994207339e-06,disgust
-8.784400051808916e-07,disgust
2.8940837637492223e-06,happy
8.58031398820458e-06,angry
-6.801181370974518e-06,angry
1.2503730317803274e-07,surprised
-2.994537453560042e-07,calm
-1.2924194379593246e-05,fearful
-1.8191867638961412e-06,surprised
1.4385647091330611e-06,angry
-4.7014025767566636e-05,angry
-8.364783639080997e-07,surprised
2.1269056560413446e-06,angry
-5.588531735156721e-07,sad
-2.2877586616232293e-06,surprised
1.458062115489156e-07,fearful
-2.3432837679138174e-06,sad
-2.256181460325024e-06,fearful
1.9671970221679658e-05,fearful
-4.918840090795129e-07,neutral
-3.986358763086173e-07,sad
-3.496805689451321e-08,disgust
-2.0022921489726286e-06,sad
-5.86997157370206e-06,happy
-8.193122198463243e-07,neutral
1.1246999065406271e-06,sad
-2.0535787825792795e-06,fearful
-2.769893967524695e-07,disgust
3.64515528872289e-07,neutral
6.654103799519362e-06,disgust
-1.1344485528752557e-06,sad
-8.265177342536845e-08,calm
-8.52203356771497e-06,happy
-4.22583696035872e-07,surprised
1.9463432181510143e-06,angry
-6.357829107628277e-08,happy
6.463792487920728e-07,fearful
-3.422631152716349e-06,angry
4.747178650177375e-08,happy
-1.606432670087088e-05,angry
2.021789526907014e-07,sad
-2.7434032290329924e-06,happy
1.3211567875259789e-06,surprised
-8.553399197808176e-07,calm
9.212494092025736e-07,fearful
-2.1510653880341124e-07,calm
-7.120767975266062e-08,disgust
-1.9582112997795775e-07,surprised
-4.427168107667967e-07,happy
-5.849202366903228e-08,sad
3.0369227488336037e-07,calm
-7.593366717628669e-07,happy
-9.833441794171449e-08,calm
-1.3607873370347079e-06,surprised
4.3233237079221e-07,disgust
-3.980636392952874e-06,disgust
-5.302429144649068e-07,calm
-5.995432275085477e-07,disgust
-3.7426417520691757e-07,neutral
-4.1262308059231145e-07,fearful
-1.6424391446889786e-07,calm
2.479553273815327e-08,neutral
3.621843234213884e-07,disgust
-2.1523369468923192e-06,disgust
-3.089904794251197e-07,fearful
-1.8244849115944817e-06,calm
-1.0177612239203881e-05,disgust
-1.3537936638385872e-06,sad
-1.0893079860352373e-07,neutral
4.07261313739582e-06,disgust
1.0246700412608334e-06,surprised
7.648467885701393e-07,angry
-4.641215056722103e-08,surprised
-1.113043936129543e-06,sad
1.3330247838894138e-07,surprised
-2.0726521654523822e-07,happy
1.023610423089849e-07,happy
8.068084866863501e-07,happy
1.2779236158166896e-06,angry
-6.525251592393033e-07,surprised
-3.6833020544690953e-07,calm
1.4606051763621508e-06,fearful
6.707509214720631e-07,surprised
1.011954395835346e-06,happy
7.214016477519181e-07,sad
9.036593837663531e-07,happy
-3.4395853276691923e-07,surprised
4.1940478467950015e-07,sad
1.81452435299434e-06,angry
-7.353888804573216e-07,sad
-1.0130140282171851e-07,fearful
2.2485521355974925e-07,disgust
-1.2168884495622478e-06,sad
-7.737477858427155e-07,disgust
-6.597731044166721e-06,angry
6.179809588502394e-07,angry
-7.29031057744578e-07,sad
5.11593270857702e-07,fearful
1.3510385770132416e-06,fearful
6.781684191992099e-08,happy
-1.2105306268495042e-06,calm
1.6036563010857208e-06,happy
1.1772580137403565e-06,surprised
-2.038955699390499e-06,disgust
7.139841500247712e-07,fearful
2.221743307018187e-05,angry
-6.141662538539094e-07,calm
5.613962912320858e-07,happy
2.013100584008498e-06,angry
5.122290644976601e-07,surprised
-1.5612707784384838e-06,calm
-1.1539459592313506e-06,neutral
-1.7768012412489043e-06,calm
-1.5705956002420862e-06,calm
8.689032604536351e-09,fearful
7.217830898298416e-06,disgust
-9.216732337335998e-07,calm
-2.1044412790161005e-07,neutral
1.4834933281804297e-09,fearful
-1.532236666434983e-07,sad
1.4230092347133905e-05,angry
-6.951225941520534e-07,disgust
-3.4525130558904493e-06,fearful
-2.1892124095757026e-06,calm
3.748999688468757e-07,fearful
-8.095635166682769e-07,happy
5.713569066756463e-07,sad
1.950518344528973e-05,fearful
-3.657023171399487e-06,fearful
-1.061969328475243e-06,calm
2.8563606520037865e-06,disgust
6.629732069995953e-06,disgust
-2.026875790761551e-06,neutral
1.990297096199356e-05,angry
-3.3484565165053937e-07,disgust
3.8700316508766264e-05,happy
-1.1535220210134867e-06,happy
4.2530271457508206e-05,angry
-2.7891794616152765e-06,neutral
-8.51508229970932e-05,sad
-3.4463671454432188e-06,angry
9.394751714353333e-07,calm
-5.362404863262782e-06,calm
-2.2998385702521773e-06,surprised
-4.392623850435484e-06,disgust
-4.183451380868064e-07,happy
-1.7000834304781165e-06,happy
-1.6605801647529006e-05,fearful
9.846581633610185e-06,surprised
-6.469514573836932e-06,disgust
-1.2062920404787292e-06,surprised
-9.80801019068167e-07,neutral
-3.5625032523967093e-07,surprised
-1.1900371646333952e-05,angry
-3.4563277040433604e-06,surprised
-2.2549099867319455e-06,sad
-1.3599395970231853e-05,happy
-8.66720438352786e-06,surprised
-4.454718691704329e-06,sad
-3.3399794574506814e-07,calm
-2.151489297830267e-06,surprised
2.2001902834745124e-05,angry
-4.935794208904554e-07,surprised
-2.5032891244336497e-06,sad
-5.054473604104714e-07,angry
-2.542071797506651e-06,disgust
1.4245774764276575e-06,happy
-8.002387403394096e-06,sad
-2.358118763368111e-06,calm
5.043877493449145e-08,sad
-1.6509162037436909e-07,calm
9.936226888385136e-06,fearful
-2.9561783776443917e-06,fearful
-5.400551799539244e-06,disgust
-8.841620342536771e-07,neutral
2.5649601411714684e-06,calm
5.742942084907554e-05,angry
-5.870819222764112e-06,happy
-6.402333383448422e-07,fearful
-1.7937554730451666e-06,sad
-1.6146765347002656e-06,angry
1.911142135213595e-05,happy
-2.1934509675247682e-07,sad
-0.00013053046131972224,fearful
-4.3845069740200415e-05,happy
0.00030471949139609933,fearful
-1.5905168766039424e-05,surprised
-6.830427423665242e-07,sad
-6.480746606030152e-07,angry
-2.6808845632331213e-07,neutral
2.9451794034685008e-05,angry
-1.8856047972803935e-05,surprised
2.772649168036878e-06,disgust
3.2459684007335454e-05,happy
-2.745755591604393e-05,disgust
-1.4804416423430666e-05,sad
6.407102046068758e-05,angry
-2.1763271433883347e-05,fearful
3.081618342548609e-05,sad
-4.193623681203462e-06,calm
-1.1522505474204081e-06,angry
-7.20977766377473e-07,disgust
5.2592382417060435e-05,fearful
-1.1196136711077997e-06,surprised
-4.409790108184097e-06,calm
-4.831949809158687e-07,surprised
1.9382900063646957e-05,sad
-1.8164316770707956e-06,calm
-1.000298425424262e-06,fearful
-7.659064635845425e-07,happy
-1.108572178054601e-05,happy
2.1616617829067764e-08,calm
-7.6043870649300516e-06,fearful
-1.2914869103042292e-06,sad
-1.6021728299620008e-07,happy
-5.409600998973474e-05,happy
-7.775624339956266e-07,calm
-1.1181301715623704e-06,calm
1.4063517710383167e-06,fearful
3.099526293226518e-05,disgust
-1.7036861663655145e-06,sad
-6.612777724512853e-06,surprised
-9.96059839053487e-08,neutral
-1.0403526857771794e-06,calm
3.11385269924358e-06,disgust
-2.449883425015287e-07,angry
2.7734968170989305e-06,surprised
-2.8822792955907062e-05,angry
-2.5277879103668965e-05,disgust
-8.795632311375812e-06,surprised
6.955464755264984e-07,surprised
2.128813093804638e-06,sad
-2.013524317590054e-05,fearful
-1.5282100775948493e-06,disgust
3.026178092113696e-05,angry
1.3768513781542424e-05,disgust
-1.0643005907695624e-06,neutral
-1.4932420526747592e-06,neutral
-5.07490367454011e-05,angry
1.7827775081968866e-05,happy
